Month,Year,Precipitacion,Temp_Media,Flujo,Chapala,Calderon,Pozos,Manantiales,Total,PorcenChap,PorcenCal,PorcenPozo,PorcenMana,Poblacion_ZMG
1,2016,8.4,17.2,8.55,15416915.4166667,2693474.08333333,6864546.16666667,505064.5,25480000.1666667,0.605059470793698,0.105709343238427,0.269409188452321,0.0198219975155547,4873348.648
2,2016,4.8,18.8,8.84,15416915.4166667,2693474.08333333,6864546.16666667,505064.5,25480000.1666667,0.605059470793698,0.105709343238427,0.269409188452321,0.0198219975155547,4873348.648
3,2016,16.1,19.9,8.89,15416915.4166667,2693474.08333333,6864546.16666667,505064.5,25480000.1666667,0.605059470793698,0.105709343238427,0.269409188452321,0.0198219975155547,4873348.648
4,2016,1.1,22.4,9.41,15416915.4166667,2693474.08333333,6864546.16666667,505064.5,25480000.1666667,0.605059470793698,0.105709343238427,0.269409188452321,0.0198219975155547,4873348.648
5,2016,19.6,25.3,9.53,15416915.4166667,2693474.08333333,6864546.16666667,505064.5,25480000.1666667,0.605059470793698,0.105709343238427,0.269409188452321,0.0198219975155547,4873348.648
6,2016,171.7,24.3,9.27,15416915.4166667,2693474.08333333,6864546.16666667,505064.5,25480000.1666667,0.605059470793698,0.105709343238427,0.269409188452321,0.0198219975155547,4873348.648
7,2016,240.1,23.2,8.85,15416915.4166667,2693474.08333333,6864546.16666667,505064.5,25480000.1666667,0.605059470793698,0.105709343238427,0.269409188452321,0.0198219975155547,4873348.648
8,2016,224.8,23.1,8.42,15416915.4166667,2693474.08333333,6864546.16666667,505064.5,25480000.1666667,0.605059470793698,0.105709343238427,0.269409188452321,0.0198219975155547,4873348.648
9,2016,156.5,22.9,8.39,15416915.4166667,2693474.08333333,6864546.16666667,505064.5,25480000.1666667,0.605059470793698,0.105709343238427,0.269409188452321,0.0198219975155547,4873348.648
10,2016,34,22.5,8.27,15416915.4166667,2693474.08333333,6864546.16666667,505064.5,25480000.1666667,0.605059470793698,0.105709343238427,0.269409188452321,0.0198219975155547,4873348.648
