NPRODUCTO,CONCURSO,R4,BOLSA,FECHA
40,3450,49,30700000,44304
40,3449,11,30200000,44300
40,3448,43,30100000,44297
40,3447,31,30000000,44293
40,3446,44,76200000,44290
40,3445,40,72200000,44286
40,3444,44,69000000,44283
40,3443,14,66200000,44279
40,3442,34,62200000,44276
40,3441,17,59000000,44272
40,3440,32,55400000,44269
40,3439,23,52300000,44265
40,3438,19,49000000,44262
40,3437,23,45500000,44258
40,3436,38,41300000,44255
40,3435,38,37900000,44251
40,3434,25,34300000,44248
40,3433,42,30900000,44244
40,3432,17,30700000,44241
40,3431,31,30600000,44237
40,3430,38,30500000,44234
40,3429,31,30400000,44230
40,3428,35,30300000,44227
40,3427,28,30200000,44223
40,3426,25,30100000,44220
40,3425,32,30000000,44216
40,3424,47,30500000,44213
40,3423,31,30400000,44209
40,3422,45,30300000,44206
40,3421,33,30200000,44202
40,3420,39,30100000,44199
40,3419,29,30000000,44195
40,3418,26,305700000,44192
40,3417,33,301500000,44188
40,3416,45,297100000,44185
40,3415,31,293200000,44181
40,3414,36,288600000,44178
40,3413,30,285200000,44174
40,3412,48,280800000,44171
40,3411,26,277200000,44167
40,3410,27,273600000,44164
40,3409,42,269800000,44160
40,3408,37,265800000,44157
40,3407,31,262300000,44153
40,3406,18,258700000,44150
40,3405,24,255500000,44146
40,3404,38,252000000,44143
40,3403,53,248100000,44139
40,3402,42,244000000,44136
40,3401,49,240500000,44132
40,3400,28,237700000,44129
40,3399,29,234500000,44125
40,3398,31,230500000,44122
40,3397,34,227100000,44118
40,3396,32,223100000,44115
40,3395,21,220000000,44111
40,3394,39,216000000,44108
40,3393,21,214000000,44104
40,3392,24,210000000,44101
40,3391,48,207000000,44097
40,3390,40,203500000,44094
40,3389,27,201000000,44090
40,3388,36,197000000,44087
40,3387,35,194600000,44083
40,3386,27,191800000,44080
40,3385,38,188500000,44076
40,3384,30,184800000,44073
40,3383,18,182600000,44069
40,3382,52,179500000,44066
40,3381,42,176700000,44062
40,3380,25,173900000,44059
40,3379,35,171400000,44055
40,3378,45,168500000,44052
40,3377,35,166000000,44048
40,3376,34,163000000,44045
40,3375,46,161000000,44041
40,3374,41,160900000,44038
40,3373,39,160800000,43922
40,3372,18,157000000,43919
40,3371,26,154900000,43915
40,3370,15,152500000,43912
40,3369,18,149700000,43908
40,3368,21,146300000,43905
40,3367,16,143800000,43901
40,3366,44,139700000,43898
40,3365,33,136400000,43894
40,3364,29,132000000,43891
40,3363,46,128600000,43887
40,3362,42,124300000,43884
40,3361,35,121100000,43880
40,3360,44,116900000,43877
40,3359,29,113800000,43873
40,3358,40,109700000,43870
40,3357,28,106600000,43866
40,3356,50,101900000,43863
40,3355,25,98800000,43859
40,3354,32,94500000,43856
40,3353,34,91000000,43852
40,3352,24,87400000,43849
40,3351,36,83500000,43845
40,3350,25,79500000,43842
40,3349,20,76100000,43838
40,3348,34,72200000,43835
40,3347,40,68800000,43831
40,3346,33,64700000,43828
40,3345,17,62900000,43824
40,3344,36,59000000,43821
40,3343,50,55300000,43817
40,3342,32,51200000,43814
40,3341,29,48000000,43810
40,3340,32,44500000,43807
40,3339,29,41000000,43803
40,3338,9,37500000,43800
40,3337,43,34000000,43796
40,3336,25,30900000,43793
40,3335,36,30700000,43789
40,3334,37,30600000,43786
40,3333,26,30500000,43782
40,3332,50,30400000,43779
40,3331,44,30300000,43775
40,3330,28,30200000,43772
40,3329,38,30100000,43768
40,3328,42,30000000,43765
40,3327,31,40000000,43761
40,3326,39,36500000,43758
40,3325,25,32900000,43754
40,3324,38,30700000,43751
40,3323,35,30600000,43747
40,3322,41,30500000,43744
40,3321,39,30400000,43740
40,3320,24,30300000,43737
40,3319,24,30200000,43733
40,3318,42,30100000,43730
40,3317,16,30000000,43726
40,3316,49,30500000,43723
40,3315,37,30400000,43719
40,3314,41,30300000,43716
40,3313,26,30200000,43712
40,3312,41,30100000,43709
40,3311,28,30000000,43705
40,3310,43,63400000,43702
40,3309,34,59600000,43698
40,3308,21,55700000,43695
40,3307,24,52400000,43691
40,3306,29,48600000,43688
40,3305,35,45000000,43684
40,3304,23,41300000,43681
40,3303,31,37700000,43677
40,3302,39,33800000,43674
40,3301,31,30700000,43670
40,3300,41,30600000,43667
40,3299,37,30500000,43663
40,3298,36,30400000,43660
40,3297,36,30300000,43656
40,3296,34,30200000,43653
40,3295,44,30100000,43649
40,3294,37,30000000,43646
40,3293,42,113200000,43642
40,3292,47,109300000,43639
40,3291,36,105700000,43635
40,3290,41,101600000,43632
40,3289,30,98000000,43628
40,3288,17,95600000,43625
40,3287,45,92000000,43621
40,3286,25,87800000,43618
40,3285,35,84000000,43614
40,3284,23,80600000,43611
40,3283,32,77300000,43607
40,3282,47,72900000,43604
40,3281,22,69700000,43600
40,3280,20,66000000,43597
40,3279,29,63300000,43593
40,3278,45,59200000,43590
40,3277,24,56300000,43586
40,3276,23,52400000,43583
40,3275,47,49500000,43579
40,3274,26,46300000,43576
40,3273,36,43300000,43572
40,3272,15,40300000,43569
40,3271,34,37300000,43565
40,3270,34,33400000,43562
40,3269,34,30600000,43558
40,3268,38,30500000,43555
40,3267,39,30400000,43551
40,3266,23,30300000,43548
40,3265,36,30200000,43544
40,3264,27,30100000,43541
40,3263,24,30000000,43537
40,3262,26,76000000,43534
40,3261,30,72300000,43530
40,3260,25,68000000,43527
40,3259,31,64400000,43523
40,3258,26,60000000,43520
40,3257,13,57800000,43516
40,3256,34,53500000,43513
40,3255,37,49700000,43509
40,3254,38,45000000,43506
40,3253,23,41600000,43502
40,3252,33,37700000,43499
40,3251,22,34900000,43495
40,3250,15,30900000,43492
40,3249,43,30600000,43488
40,3248,19,30500000,43485
40,3247,18,30400000,43481
40,3246,27,30300000,43478
40,3245,38,30200000,43474
40,3244,31,30100000,43471
40,3243,16,30000000,43467
40,3242,8,30000000,43464
40,3241,30,35900000,43460
40,3240,38,31500000,43457
40,3239,24,30600000,43453
40,3238,41,30500000,43450
40,3237,25,30400000,43446
40,3236,36,30300000,43443
40,3235,30,30200000,43439
